side,Player,mean_rank,p10_rank,p90_rank,appear_rate
Underpaid,Pablo Torre,1.0,1.0,1.0,0.62
Underpaid,Christopher Antwi-Adjei,1.65,1.0,2.0,0.6
Underpaid,Takuma Asano,2.155440414507772,1.0,3.0,0.6433333333333333
Underpaid,Warmed Omari,2.7925531914893615,2.0,4.0,0.6266666666666667
Underpaid,Mounaim El Idrissy,4.124324324324324,3.0,5.0,0.6166666666666667
Underpaid,Matìas Soulé,4.707070707070707,3.0,6.0,0.66
Underpaid,Gorka Guruzeta,5.246192893401015,3.0,8.0,1.3133333333333332
Underpaid,Eliot Matazo,5.668449197860962,4.0,7.0,0.6233333333333333
Underpaid,Gio Reyna,6.097297297297297,4.0,8.0,0.6166666666666667
Underpaid,Moritz Nicolas,7.44,5.0,9.0,0.5833333333333334
Underpaid,Alfon,7.862068965517241,6.0,10.0,0.6766666666666666
Underpaid,Alejandro Balde,9.25263157894737,7.0,12.0,0.6333333333333333
Underpaid,Yasser Larouci,9.766497461928934,7.0,12.0,1.3133333333333332
Underpaid,Felix Nmecha,9.82010582010582,7.800000000000001,12.200000000000017,0.63
Underpaid,Badredine Bouanani,11.172972972972973,9.0,14.0,0.6166666666666667
Underpaid,Matis Carvalho,11.777777777777779,9.0,14.0,0.63
Underpaid,Seydouba Cissé,12.365079365079366,9.0,15.0,0.63
Underpaid,Antonios Papadopoulos,13.202247191011235,10.0,16.0,0.5933333333333334
Underpaid,Janis Blaswich,13.652173913043478,10.600000000000001,17.0,0.69
Underpaid,Maghnes Akliouche,14.263440860215054,11.0,17.5,0.62
Underpaid,David Costa,14.957219251336898,12.0,18.0,0.6233333333333333
Underpaid,Hugo Magnetti,15.707920792079207,13.0,19.0,0.6733333333333333
Underpaid,Pepín,16.161290322580644,13.0,20.0,0.62
Underpaid,Marco Carnesecchi,16.78306878306878,14.0,20.0,0.63
Underpaid,Kirian Rodríguez,17.53684210526316,14.0,21.0,0.6333333333333333
Underpaid,Ismaël Boura,18.06111111111111,14.900000000000002,22.0,0.6
Underpaid,Anthony Elanga,18.662983425414364,15.0,22.0,0.6033333333333334
Underpaid,Andy Irving,19.151515151515152,16.0,22.0,0.66
Underpaid,Emil Ceide,19.83068783068783,16.0,23.0,0.63
Underpaid,Omar Marmoush,20.668539325842698,17.0,24.0,0.5933333333333334
Underpaid,Lesley Ugochukwu,21.065,17.0,25.0,0.6666666666666666
Underpaid,Mathias Olesen,21.70212765957447,18.0,26.0,0.6266666666666667
Underpaid,Michael Zetterer,22.5188679245283,19.0,26.0,0.7066666666666667
Underpaid,Pau Victor,23.192513368983956,20.0,27.0,0.6233333333333333
Underpaid,Bevic Moussiti-Oko,23.824742268041238,20.0,28.0,0.6466666666666666
Underpaid,Nordine Kandil,24.38888888888889,20.700000000000003,28.0,0.66
Underpaid,Samuel Sáiz,24.797752808988765,21.0,29.0,0.5933333333333334
Underpaid,Pablo Durán,25.82941176470588,22.0,29.0,0.5666666666666667
Underpaid,Þórir Jóhann Helgason,26.09025270758123,22.0,30.0,0.9233333333333333
Underpaid,Mohamed Amoura,26.25,23.0,29.0,0.5333333333333333
Underpaid,Toby Collyer,26.716867469879517,23.0,30.0,0.5533333333333333
Underpaid,Aitor Paredes,27.07482993197279,24.0,30.0,0.49
Underpaid,Marc Casado,27.270676691729324,24.0,30.0,0.44333333333333336
Underpaid,Iglesias,27.465346534653467,24.0,30.0,0.33666666666666667
Underpaid,Hans Nicolussi Caviglia,27.87323943661972,25.0,30.0,0.23666666666666666
Underpaid,Matteo Ruggeri,28.016393442622952,25.1,30.0,0.4066666666666667
Underpaid,Fermin López,28.032258064516128,25.0,30.0,0.10333333333333333
Underpaid,Sael Kumbedi,28.203389830508474,26.0,30.0,0.19666666666666666
Underpaid,César Tárrega,28.34,25.0,30.0,0.16666666666666666
Underpaid,Abdelhamid Sabiri,28.428571428571427,26.0,30.0,0.07
Underpaid,Ibrahim Mbaye,28.46153846153846,25.5,30.0,0.08666666666666667
Underpaid,Rodrigo Muniz,28.6875,27.0,30.0,0.05333333333333334
Underpaid,Niccolò Pisilli,28.692307692307693,28.0,30.0,0.043333333333333335
Underpaid,Elye Wahi,29.0,28.5,29.5,0.02
Underpaid,Valentin Gendrey,29.5,29.1,29.9,0.006666666666666667
Underpaid,Lilian Egloff,29.666666666666668,29.0,30.0,0.02
Underpaid,Warren Zaïre-Emery,29.666666666666668,29.2,30.0,0.01
Underpaid,Wout Weghorst,30.0,30.0,30.0,0.006666666666666667
Overpaid,Marquinhos,1.0,1.0,1.0,0.66
Overpaid,Paul Wanner,1.6277777777777778,1.0,2.0,0.6
Overpaid,Stefan Bajcetic,2.75531914893617,2.0,4.0,1.2533333333333334
Overpaid,David López,3.510204081632653,2.0,5.0,0.6533333333333333
Overpaid,Bryan Zaragoza,4.167539267015707,3.0,6.0,0.6366666666666667
Overpaid,Samuel Umtiti,4.768361581920904,3.0,7.0,0.59
Overpaid,Kylian Mbappé,7.8203125,5.0,11.0,1.28
Overpaid,Rodri,7.853535353535354,6.0,10.0,0.66
Overpaid,Matthias Ginter,8.077956989247312,4.0,12.0,1.24
Overpaid,Luka Romero,8.430051813471502,6.0,11.0,0.6433333333333333
Overpaid,Nico Williams,9.292553191489361,5.0,14.0,1.2533333333333334
Overpaid,Ki-Jana Hoever,9.323033707865168,6.0,13.0,1.1866666666666668
Overpaid,Youssouf Koné,9.789772727272727,7.0,12.0,0.5866666666666667
Overpaid,Lionel Messi,12.972826086956522,10.0,16.0,0.6133333333333333
Overpaid,Raúl de Tomás,13.626315789473685,10.0,17.0,0.6333333333333333
Overpaid,Eden Hazard,14.22051282051282,11.0,17.0,0.65
Overpaid,Ansu Fati,15.328205128205129,11.0,19.0,0.65
Overpaid,Fernando,16.41269841269841,13.0,20.0,0.63
Overpaid,Gianluigi Donnarumma,16.900840336134454,10.0,25.0,1.9833333333333334
Overpaid,Joshua King,17.306532663316585,13.8,21.0,0.6633333333333333
Overpaid,Denis Suárez,18.025906735751295,14.0,22.0,0.6433333333333333
Overpaid,James Rodríguez,18.737430167597765,15.0,22.0,0.5966666666666667
Overpaid,Thibaut Courtois,19.682291666666668,16.0,24.0,0.64
Overpaid,Ângelo,20.518716577540108,16.6,24.400000000000006,0.6233333333333333
Overpaid,Marash Kumbulla,20.816091954022987,14.0,28.0,1.16
Overpaid,Manuel Neuer,21.382513661202186,17.0,25.0,0.61
Overpaid,Federico Fernández,21.809278350515463,17.0,26.0,0.6466666666666666
Overpaid,Arthur Melo,22.42931937172775,18.0,27.0,0.6366666666666667
Overpaid,Luca Netz,22.433846153846154,17.0,29.0,1.0833333333333333
Overpaid,Iñigo Martínez,23.39887640449438,19.0,27.30000000000001,0.5933333333333334
Overpaid,Jan Oblak,24.225988700564972,20.0,28.0,0.59
Overpaid,Nicolás González,24.552486187845304,20.0,29.0,0.6033333333333334
Overpaid,Éderson,25.17283950617284,21.0,29.0,0.54
Overpaid,Attila Szalai,25.63013698630137,22.0,30.0,0.4866666666666667
Overpaid,Wahbi Khazri,26.205479452054796,22.0,30.0,0.4866666666666667
Overpaid,Viktor Kovalenko,26.572649572649574,23.0,30.0,0.39
Overpaid,Jadon Sancho,26.609756097560975,23.0,30.0,0.41
Overpaid,Arthur Theate,27.103174603174605,24.0,30.0,0.42
Overpaid,Gastón Álvarez,27.34313725490196,24.0,30.0,0.34
Overpaid,Keylor Navas,27.44047619047619,24.0,30.0,0.28
Overpaid,Habib Diarra,27.44776119402985,24.0,30.0,0.22333333333333333
Overpaid,Malang Sarr,27.73134328358209,25.0,30.0,0.22333333333333333
Overpaid,Maximilian Philipp,28.0,27.2,28.8,0.006666666666666667
Overpaid,Luís Maximiano,28.0,28.0,28.0,0.0033333333333333335
Overpaid,Sergiño Dest,28.133333333333333,25.4,30.0,0.05
Overpaid,Benjamin Mendy,28.296296296296298,26.0,30.0,0.18
Overpaid,Manu Sánchez,28.304347826086957,26.0,30.0,0.07666666666666666
Overpaid,Alejo Véliz,28.40909090909091,26.0,30.0,0.14666666666666667
Overpaid,Soumaïla Coulibaly,28.586206896551722,27.0,30.0,0.09666666666666666
Overpaid,Dean Henderson,28.6,26.6,30.0,0.016666666666666666
Overpaid,Niklas Süle,28.75,27.1,30.0,0.04
Overpaid,Fábio Silva,28.8,26.8,30.0,0.05
Overpaid,Ousmane Dembélé,29.0,29.0,29.0,0.0033333333333333335
Overpaid,Kieran Tierney,29.22222222222222,27.8,30.0,0.03
Overpaid,Albert Sambi Lokonga,30.0,30.0,30.0,0.0033333333333333335
Overpaid,Stefano Sensi,30.0,30.0,30.0,0.0033333333333333335
