model,variable,lasso_coef,selected,is_fe
Defenders,Intercept,0.0,False,True
Defenders,Age,2.121459,True,False
Defenders,Age2,-1.757466,True,False
Defenders,Min_pct,0.130902,True,False
Defenders,NPGls_p90,0.025819,True,False
Defenders,Ast_p90,-0.0,False,False
Defenders,NPSh_p90,0.026275,True,False
Defenders,G_Sh,-0.024856,True,False
Defenders,G_Sh_zero,0.006331,True,False
Defenders,TklW_p90,-0.007428,True,False
Defenders,Int_p90,0.003408,True,False
Defenders,Fls_p90,-0.000751,True,False
Defenders,Fld_p90,-0.038497,True,False
Defenders,CrdY_p90,0.011826,True,False
Defenders,On_Off,0.005311,True,False
Defenders,Comp__La_Liga,-0.0,False,True
Defenders,Comp__Ligue_1,-0.360818,True,True
Defenders,Comp__Premier_League,0.374734,True,True
Defenders,Comp__Serie_A,0.0,False,True
Defenders,Team__Alav_s,-0.055991,True,True
Defenders,Team__Almer_a,-0.032205,True,True
Defenders,Team__Angers,0.000472,True,True
Defenders,Team__Arsenal,0.092633,True,True
Defenders,Team__Aston_Villa,0.042896,True,True
Defenders,Team__Atalanta,0.022508,True,True
Defenders,Team__Athletic_Club,0.017069,True,True
Defenders,Team__Atl_tico_Madrid,0.124365,True,True
Defenders,Team__Augsburg,-0.039736,True,True
Defenders,Team__Auxerre,0.00912,True,True
Defenders,Team__Barcelona,0.20284,True,True
Defenders,Team__Bayern_Munich,0.224649,True,True
Defenders,Team__Bochum,-0.039212,True,True
Defenders,Team__Bologna,0.004396,True,True
Defenders,Team__Bournemouth,-0.003158,True,True
Defenders,Team__Brentford,-0.025781,True,True
Defenders,Team__Brest,0.027552,True,True
Defenders,Team__Brighton,-0.0,False,True
Defenders,Team__Burnley,-0.041002,True,True
Defenders,Team__C_diz,-0.054296,True,True
Defenders,Team__Cagliari,-0.010998,True,True
Defenders,Team__Celta_Vigo,-0.007492,True,True
Defenders,Team__Chelsea,0.134918,True,True
Defenders,Team__Clermont_Foot,-0.007305,True,True
Defenders,Team__Como,-0.025383,True,True
Defenders,Team__Cremonese,-0.040354,True,True
Defenders,Team__Crystal_Palace,0.021467,True,True
Defenders,Team__Darmstadt_98,-0.061033,True,True
Defenders,Team__Dortmund,0.125873,True,True
Defenders,Team__Eintracht_Frankfurt,0.003795,True,True
Defenders,Team__Elche,-0.084313,True,True
Defenders,Team__Empoli,-0.037368,True,True
Defenders,Team__Espanyol,-0.034959,True,True
Defenders,Team__Everton,0.03476,True,True
Defenders,Team__Fiorentina,0.076435,True,True
Defenders,Team__Freiburg,-0.06325,True,True
Defenders,Team__Frosinone,-0.008817,True,True
Defenders,Team__Fulham,0.006073,True,True
Defenders,Team__Genoa,-0.013968,True,True
Defenders,Team__Getafe,-0.039635,True,True
Defenders,Team__Girona,-0.028678,True,True
Defenders,Team__Gladbach,0.062773,True,True
Defenders,Team__Granada,-0.027963,True,True
Defenders,Team__Heidenheim,-0.072898,True,True
Defenders,Team__Hellas_Verona,-0.027923,True,True
Defenders,Team__Hertha_BSC,-0.006851,True,True
Defenders,Team__Hoffenheim,0.038493,True,True
Defenders,Team__Holstein_Kiel,-0.068916,True,True
Defenders,Team__Inter,0.122809,True,True
Defenders,Team__Ipswich_Town,-0.048479,True,True
Defenders,Team__Juventus,0.135478,True,True
Defenders,Team__K_ln,-0.03798,True,True
Defenders,Team__Las_Palmas,-0.056618,True,True
Defenders,Team__Lazio,0.083563,True,True
Defenders,Team__Le_Havre,0.001967,True,True
Defenders,Team__Lecce,-0.012671,True,True
Defenders,Team__Leeds_United,-0.000475,True,True
Defenders,Team__Legan_s,-0.043067,True,True
Defenders,Team__Leicester_City,0.006458,True,True
Defenders,Team__Lens,0.014333,True,True
Defenders,Team__Leverkusen,0.078021,True,True
Defenders,Team__Lille,0.090854,True,True
Defenders,Team__Liverpool,0.067515,True,True
Defenders,Team__Lorient,0.02288,True,True
Defenders,Team__Luton_Town,-0.054935,True,True
Defenders,Team__Lyon,0.134252,True,True
Defenders,Team__Mainz_05,0.010269,True,True
Defenders,Team__Mallorca,-0.045736,True,True
Defenders,Team__Manchester_City,0.126127,True,True
Defenders,Team__Manchester_Utd,0.119025,True,True
Defenders,Team__Marseille,0.139712,True,True
Defenders,Team__Metz,0.010576,True,True
Defenders,Team__Milan,0.128534,True,True
Defenders,Team__Monaco,0.185439,True,True
Defenders,Team__Montpellier,-0.0,False,True
Defenders,Team__Monza,0.014901,True,True
Defenders,Team__Nantes,0.056507,True,True
Defenders,Team__Napoli,0.086783,True,True
Defenders,Team__Newcastle_United,0.017976,True,True
Defenders,Team__Nice,0.075743,True,True
Defenders,Team__Nottingham_Forest,-0.003004,True,True
Defenders,Team__Osasuna,-0.064439,True,True
Defenders,Team__Paris_Saint_Germain,0.319126,True,True
Defenders,Team__Parma,0.000684,True,True
Defenders,Team__RB_Leipzig,0.143835,True,True
Defenders,Team__Rayo_Vallecano,-0.096628,True,True
Defenders,Team__Real_Betis,0.032032,True,True
Defenders,Team__Real_Madrid,0.248528,True,True
Defenders,Team__Real_Sociedad,0.035462,True,True
Defenders,Team__Reims,0.03933,True,True
Defenders,Team__Rennes,0.06165,True,True
Defenders,Team__Roma,0.102596,True,True
Defenders,Team__Saint__tienne,0.012315,True,True
Defenders,Team__Salernitana,0.034871,True,True
Defenders,Team__Sampdoria,-0.005588,True,True
Defenders,Team__Sassuolo,-0.015351,True,True
Defenders,Team__Schalke_04,0.003725,True,True
Defenders,Team__Sevilla,0.089094,True,True
Defenders,Team__Sheffield_United,-0.064305,True,True
Defenders,Team__Southampton,-0.028527,True,True
Defenders,Team__Spezia,-0.024794,True,True
Defenders,Team__St_Pauli,-0.058325,True,True
Defenders,Team__Strasbourg,0.053255,True,True
Defenders,Team__Stuttgart,-0.0,False,True
Defenders,Team__Torino,0.011415,True,True
Defenders,Team__Tottenham_Hotspur,0.081328,True,True
Defenders,Team__Toulouse,0.01619,True,True
Defenders,Team__Troyes,0.010969,True,True
Defenders,Team__Udinese,-0.011501,True,True
Defenders,Team__Union_Berlin,-0.007655,True,True
Defenders,Team__Valencia,0.047701,True,True
Defenders,Team__Valladolid,-0.039751,True,True
Defenders,Team__Venezia,-0.012345,True,True
Defenders,Team__Villarreal,0.047717,True,True
Defenders,Team__Werder_Bremen,-0.01868,True,True
Defenders,Team__West_Ham_United,0.014859,True,True
Defenders,Team__Wolfsburg,0.03536,True,True
Defenders,Team__Wolves,-0.045932,True,True
Defenders,Season__2023_2024,0.040452,True,True
Defenders,Season__2024_2025,0.071626,True,True
Midfielders,Intercept,0.0,False,True
Midfielders,Age,2.219191,True,False
Midfielders,Age2,-1.786507,True,False
Midfielders,Min_pct,0.137121,True,False
Midfielders,NPGls_p90,0.042864,True,False
Midfielders,Ast_p90,0.024431,True,False
Midfielders,SoT_p90,0.051285,True,False
Midfielders,G_Sh,-0.036319,True,False
Midfielders,G_Sh_zero,-0.005341,True,False
Midfielders,TklW_p90,-0.025293,True,False
Midfielders,Int_p90,0.002074,True,False
Midfielders,Fls_p90,-0.022008,True,False
Midfielders,Fld_p90,0.034352,True,False
Midfielders,CrdY_p90,0.001813,True,False
Midfielders,On_Off,-0.003748,True,False
Midfielders,Comp__La_Liga,-0.0,False,True
Midfielders,Comp__Ligue_1,-0.653415,True,True
Midfielders,Comp__Premier_League,0.440873,True,True
Midfielders,Comp__Serie_A,0.0,False,True
Midfielders,Team__Alav_s,-0.027182,True,True
Midfielders,Team__Almer_a,-0.041356,True,True
Midfielders,Team__Angers,0.071352,True,True
Midfielders,Team__Arsenal,0.063515,True,True
Midfielders,Team__Aston_Villa,0.039087,True,True
Midfielders,Team__Atalanta,0.038204,True,True
Midfielders,Team__Athletic_Club,0.047572,True,True
Midfielders,Team__Atl_tico_Madrid,0.115791,True,True
Midfielders,Team__Augsburg,-0.014363,True,True
Midfielders,Team__Auxerre,0.059023,True,True
Midfielders,Team__Barcelona,0.199991,True,True
Midfielders,Team__Bayern_Munich,0.245324,True,True
Midfielders,Team__Bochum,-0.058265,True,True
Midfielders,Team__Bologna,0.026842,True,True
Midfielders,Team__Bournemouth,-0.028153,True,True
Midfielders,Team__Brentford,-0.044115,True,True
Midfielders,Team__Brest,0.094821,True,True
Midfielders,Team__Brighton,-0.009243,True,True
Midfielders,Team__Burnley,-0.027571,True,True
Midfielders,Team__C_diz,-0.041295,True,True
Midfielders,Team__Cagliari,-0.009871,True,True
Midfielders,Team__Celta_Vigo,0.010921,True,True
Midfielders,Team__Chelsea,0.128082,True,True
Midfielders,Team__Clermont_Foot,0.026719,True,True
Midfielders,Team__Como,0.001905,True,True
Midfielders,Team__Cremonese,-0.027192,True,True
Midfielders,Team__Crystal_Palace,0.009643,True,True
Midfielders,Team__Darmstadt_98,-0.046089,True,True
Midfielders,Team__Dortmund,0.151492,True,True
Midfielders,Team__Eintracht_Frankfurt,0.037018,True,True
Midfielders,Team__Elche,-0.053063,True,True
Midfielders,Team__Empoli,-0.011004,True,True
Midfielders,Team__Espanyol,-0.027354,True,True
Midfielders,Team__Everton,0.013368,True,True
Midfielders,Team__Fiorentina,0.064364,True,True
Midfielders,Team__Freiburg,-0.066953,True,True
Midfielders,Team__Frosinone,-0.015292,True,True
Midfielders,Team__Fulham,-0.027021,True,True
Midfielders,Team__Genoa,0.010321,True,True
Midfielders,Team__Getafe,-0.007924,True,True
Midfielders,Team__Girona,-0.011536,True,True
Midfielders,Team__Gladbach,0.056013,True,True
Midfielders,Team__Granada,-0.020795,True,True
Midfielders,Team__Heidenheim,-0.083619,True,True
Midfielders,Team__Hellas_Verona,-0.034987,True,True
Midfielders,Team__Hertha_BSC,0.00764,True,True
Midfielders,Team__Hoffenheim,0.027593,True,True
Midfielders,Team__Holstein_Kiel,-0.051753,True,True
Midfielders,Team__Inter,0.138196,True,True
Midfielders,Team__Ipswich_Town,-0.074851,True,True
Midfielders,Team__Juventus,0.122864,True,True
Midfielders,Team__K_ln,-0.034395,True,True
Midfielders,Team__Las_Palmas,-0.039893,True,True
Midfielders,Team__Lazio,0.085979,True,True
Midfielders,Team__Le_Havre,0.079501,True,True
Midfielders,Team__Lecce,-0.058584,True,True
Midfielders,Team__Leeds_United,0.007755,True,True
Midfielders,Team__Legan_s,-0.061603,True,True
Midfielders,Team__Leicester_City,0.001687,True,True
Midfielders,Team__Lens,0.111909,True,True
Midfielders,Team__Leverkusen,0.094921,True,True
Midfielders,Team__Lille,0.185484,True,True
Midfielders,Team__Liverpool,0.050053,True,True
Midfielders,Team__Lorient,0.106133,True,True
Midfielders,Team__Luton_Town,-0.077967,True,True
Midfielders,Team__Lyon,0.244455,True,True
Midfielders,Team__Mainz_05,-0.019621,True,True
Midfielders,Team__Mallorca,-0.041427,True,True
Midfielders,Team__Manchester_City,0.100672,True,True
Midfielders,Team__Manchester_Utd,0.080809,True,True
Midfielders,Team__Marseille,0.26559,True,True
Midfielders,Team__Metz,0.060735,True,True
Midfielders,Team__Milan,0.131776,True,True
Midfielders,Team__Monaco,0.228149,True,True
Midfielders,Team__Montpellier,0.089112,True,True
Midfielders,Team__Monza,-0.028172,True,True
Midfielders,Team__Nantes,0.161915,True,True
Midfielders,Team__Napoli,0.061128,True,True
Midfielders,Team__Newcastle_United,0.029066,True,True
Midfielders,Team__Nice,0.154839,True,True
Midfielders,Team__Nottingham_Forest,0.0,False,True
Midfielders,Team__Osasuna,-0.043485,True,True
Midfielders,Team__Paris_Saint_Germain,0.331635,True,True
Midfielders,Team__Parma,0.00649,True,True
Midfielders,Team__RB_Leipzig,0.133341,True,True
Midfielders,Team__Rayo_Vallecano,-0.072157,True,True
Midfielders,Team__Real_Betis,0.0554,True,True
Midfielders,Team__Real_Madrid,0.229837,True,True
Midfielders,Team__Real_Sociedad,0.050809,True,True
Midfielders,Team__Reims,0.099122,True,True
Midfielders,Team__Rennes,0.183413,True,True
Midfielders,Team__Roma,0.122963,True,True
Midfielders,Team__Saint__tienne,0.060212,True,True
Midfielders,Team__Salernitana,-0.013619,True,True
Midfielders,Team__Sampdoria,-0.01945,True,True
Midfielders,Team__Sassuolo,-0.000782,True,True
Midfielders,Team__Schalke_04,0.02219,True,True
Midfielders,Team__Sevilla,0.084432,True,True
Midfielders,Team__Sheffield_United,-0.058867,True,True
Midfielders,Team__Southampton,-0.013992,True,True
Midfielders,Team__Spezia,-0.010408,True,True
Midfielders,Team__St_Pauli,-0.06699,True,True
Midfielders,Team__Strasbourg,0.160398,True,True
Midfielders,Team__Stuttgart,-0.016159,True,True
Midfielders,Team__Torino,0.046305,True,True
Midfielders,Team__Tottenham_Hotspur,0.057006,True,True
Midfielders,Team__Toulouse,0.077278,True,True
Midfielders,Team__Troyes,0.052344,True,True
Midfielders,Team__Udinese,-0.023208,True,True
Midfielders,Team__Union_Berlin,0.0,False,True
Midfielders,Team__Valencia,0.042791,True,True
Midfielders,Team__Valladolid,-0.030923,True,True
Midfielders,Team__Venezia,-0.010233,True,True
Midfielders,Team__Villarreal,0.053287,True,True
Midfielders,Team__Werder_Bremen,-0.023348,True,True
Midfielders,Team__West_Ham_United,0.017311,True,True
Midfielders,Team__Wolfsburg,0.084807,True,True
Midfielders,Team__Wolves,-0.009561,True,True
Midfielders,Season__2023_2024,0.060962,True,True
Midfielders,Season__2024_2025,0.085065,True,True
Forwards,Intercept,0.0,False,True
Forwards,Age,1.675805,True,False
Forwards,Age2,-1.365097,True,False
Forwards,Min_pct,0.233911,True,False
Forwards,NPGls_p90,0.234343,True,False
Forwards,Ast_p90,0.048316,True,False
Forwards,SoT_p90,0.02046,True,False
Forwards,G_Sh,-0.209507,True,False
Forwards,G_Sh_zero,0.021903,True,False
Forwards,SoT_pct,-0.006777,True,False
Forwards,SoTPct_zero,0.003381,True,False
Forwards,Off_p90,0.061336,True,False
Forwards,TklW_p90,-0.042366,True,False
Forwards,Int_p90,-0.017603,True,False
Forwards,CrdY_p90,-0.005592,True,False
Forwards,On_Off,-0.046978,True,False
Forwards,Club_Wage_Rank_Pct,0.707129,True,False
Forwards,Comp__La_Liga,0.063527,True,True
Forwards,Comp__Ligue_1,-0.041175,True,True
Forwards,Comp__Premier_League,0.46263,True,True
Forwards,Comp__Serie_A,0.16477,True,True
Forwards,Season__2023_2024,0.02977,True,True
Forwards,Season__2024_2025,0.044767,True,True
Goalkeepers,Intercept,0.0,False,True
Goalkeepers,Age,1.439837,True,False
Goalkeepers,Age2,-1.114589,True,False
Goalkeepers,Min_pct,0.345606,True,False
Goalkeepers,Save_pct,0.015048,True,False
Goalkeepers,CS_p90,0.001452,True,False
Goalkeepers,GA_p90,0.001289,True,False
Goalkeepers,SoTA_p90,-0.070428,True,False
Goalkeepers,Save_pct_PK,-0.067329,True,False
Goalkeepers,SavePct_PK_zero,-0.064713,True,False
Goalkeepers,W_pct,0.08965,True,False
Goalkeepers,D_pct,-0.009847,True,False
Goalkeepers,Club_Wage_Rank_Pct,0.525904,True,False
Goalkeepers,Comp__La_Liga,0.027094,True,True
Goalkeepers,Comp__Ligue_1,-0.120766,True,True
Goalkeepers,Comp__Premier_League,0.402723,True,True
Goalkeepers,Comp__Serie_A,0.02795,True,True
Goalkeepers,Season__2023_2024,0.0236,True,True
Goalkeepers,Season__2024_2025,0.024567,True,True
