Player,Season,Age,Nation,Team,Comp,Pos,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,TklW,Int,Int_Def,Tkl+Int,Mn/MP,Mn/MP_Detail,Min_pct,Mn/Start,Compl,Mn/Sub,PPM,PPM_Team,onG,onGA,PlusMinus,CrdY,CrdY_Detail,CrdR,2CrdY,Fls,Fld,Off,OG,GA,SoTA,Saves,Save%,W,D,CS,PKvs,GA_Summary,PKvs_Summary,PKA,PKsv,PKm_GK,Save%_PK,OG_Detail,Weekly Wages,Annual Wages,Weekly_Wages_EUR,Annual_Wages_EUR,L,Club_Annual_EUR,Club_Wage_Rank,Club_Wage_Rank_Pct,Player_Wage_Share,log_wage,Age2,GA_p90,SoTA_p90,CS_p90,W_pct,D_pct,Save_pct,SavePct_PK_zero,Save_pct_PK,cs_per_shot_faced,sota_vs_avg,ga_vs_league_avg,fitted_log_wage,efficiency_score,efficiency_pct,efficiency_label
Matis Carvalho,2022-2023,23,POR,Montpellier,Ligue 1,GK,2,136,1.5,1,1,5,0,0,0,0,0,0,0,0,1,1,0,68,68,4.0,90,1,46.0,1.5,1.5,2,3,-1,0,0,0,0,0,0,0,0,3,7,4,57.1,0,0,1,0,3,0,0,0,0,,0,"€ 385 (£ 331, $421)","€ 20,000 (£ 17,206, $21,869)",385,20000,1,14720000,11,0.47368421052631576,0.001358695652173913,9.903487552536127,529,2.0,4.666666666666667,0.6666666666666666,0.0,0.0,57.1,1,0.0,0.14285714285714285,1.1128737049663349,-0.5704110736085992,12.225800711042154,-2.3223131585060273,-90.19534740623533,Underpaid
Marco Carnesecchi,2024-2025,24,ITA,Atalanta,Serie A,GK,34,3060,34.0,34,0,2,0,0,0,0,0,0,0,0,0,0,0,90,90,89.5,90,34,,1.88,1.88,65,34,31,1,1,0,0,0,5,0,0,34,130,98,75.4,19,7,13,2,34,2,2,0,0,0.0,0,"€ 3,654 (£ 3,084, $3,767)","€ 190,000 (£ 160,375, $195,858)",3654,190000,8,56240000,8,0.631578947368421,0.0033783783783783786,12.154779351142622,576,1.0,3.823529411764706,0.38235294117647056,0.5588235294117647,0.20588235294117646,75.4,0,0.0,0.09999999999999999,0.9218424678892668,0.37650481065328534,14.320411364993634,-2.1656320138510115,-88.53225660376734,Underpaid
Marco Carnesecchi,2023-2024,23,ITA,Atalanta,Serie A,GK,27,2425,26.9,27,0,11,0,0,0,0,0,0,0,0,0,0,0,90,90,70.9,90,26,,1.85,1.85,53,30,23,0,0,0,0,1,2,0,0,30,101,76,74.3,15,5,8,7,30,7,4,2,1,33.3,0,"€ 3,654 (£ 3,087, $3,927)","€ 190,000 (£ 160,518, $204,182)",3654,190000,7,45460000,8,0.631578947368421,0.004179498460184778,12.154779351142622,529,1.1152416356877324,3.754646840148699,0.29739776951672864,0.5555555555555556,0.18518518518518517,74.3,0,33.3,0.07920792079207921,0.9099420060188701,0.3088404240881999,13.90382461122162,-1.7490452600789972,-82.60600684033665,Underpaid
Christos Mandas,2024-2025,22,GRE,Lazio,Serie A,GK,9,810,9.0,9,0,29,0,0,0,0,0,0,0,0,0,0,0,90,90,23.7,90,9,,1.56,1.56,10,7,3,0,0,0,0,0,3,0,0,7,27,20,74.1,3,5,4,0,7,0,0,0,0,,0,"€ 2,500 (£ 2,110, $2,577)","€ 130,000 (£ 109,730, $134,008)",2500,130000,1,73860000,6,0.7368421052631579,0.001760086650419713,11.77528972943772,484,0.7777777777777778,3.0,0.4444444444444444,0.3333333333333333,0.5555555555555556,74.1,1,0.0,0.14814814814814814,0.7232917824977324,0.5987270328755075,13.422143741111974,-1.6468540116742538,-80.73449532290863,Underpaid
Lucas Chevalier,2022-2023,20,FRA,Lille,Ligue 1,GK,32,2880,32.0,32,0,6,0,0,0,0,0,0,0,1,2,2,0,90,90,84.2,90,32,,1.78,1.78,52,31,21,1,1,0,0,0,5,0,0,31,105,77,72.4,16,9,10,3,31,3,2,1,0,33.3,0,"€ 3,269 (£ 2,813, $3,575)","€ 170,000 (£ 146,253, $185,888)",3269,170000,7,26620000,7,0.6842105263157895,0.006386175807663411,12.043553716032399,400,0.96875,3.28125,0.3125,0.5,0.28125,72.4,0,33.3,0.09523809523809523,0.7824893238044541,0.4608389263914008,13.241219432948396,-1.1976657169159974,-69.81018943098816,Underpaid
Michele Cerofolini,2022-2023,23,ITA,Fiorentina,Serie A,GK,5,450,5.0,5,0,33,0,0,0,0,0,0,0,0,1,1,0,90,90,13.2,90,5,,2.6,2.6,13,3,10,0,0,0,0,0,0,0,0,3,10,8,80.0,4,1,2,1,3,1,1,0,0,0.0,0,"€ 7,115 (£ 6,121, $7,780)","€ 370,000 (£ 318,315, $404,580)",7115,370000,0,53100000,7,0.6842105263157895,0.006967984934086629,12.821258284620406,529,0.6,2.0,0.4,0.8,0.2,80.0,0,0.0,0.2,0.49191917861237244,0.7482549671183695,13.738461328440867,-0.9172030438204608,-60.036475836651526,Underpaid
Marcin Bułka,2023-2024,23,POL,Nice,Ligue 1,GK,34,3060,34.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,100.0,90,34,,1.62,1.62,40,29,11,2,2,0,0,0,4,0,0,29,96,74,75.0,15,10,17,8,29,8,5,3,0,37.5,0,"€ 6,923 (£ 5,849, $7,440)","€ 360,000 (£ 304,138, $386,872)",6923,360000,9,23110000,9,0.5294117647058824,0.015577672003461706,12.793859310432293,529,0.8529411764705882,2.823529411764706,0.5,0.4411764705882353,0.29411764705882354,75.0,0,37.5,0.17708333333333331,0.6395950896449284,0.5785540838574842,13.615686868618203,-0.8218275581859107,-56.03725249033682,Underpaid
Federico Ravaglia,2023-2024,23,ITA,Bologna,Serie A,GK,6,535,5.9,6,0,32,0,0,0,0,0,0,0,0,0,0,0,89,89,15.6,89,5,,2.17,2.17,10,3,7,0,0,0,0,0,0,0,0,3,15,13,80.0,4,1,4,1,3,1,0,1,0,100.0,0,"€ 3,269 (£ 2,762, $3,513)","€ 170,000 (£ 143,621, $182,690)",3269,170000,1,29780000,13,0.3684210526315789,0.005708529214237743,12.043553716032399,529,0.5084745762711864,2.542372881355932,0.6779661016949152,0.6666666666666666,0.16666666666666666,80.0,0,100.0,0.26666666666666666,0.6161463323185334,0.9156074835047459,12.854499216971432,-0.8109455009390327,-55.55623487137302,Underpaid
Mile Svilar,2024-2025,24,SRB,Roma,Serie A,GK,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,100.0,90,38,,1.82,1.82,56,35,21,1,1,0,0,0,8,0,0,35,149,118,79.2,20,9,16,4,35,4,4,0,0,0.0,0,"€ 24,615 (£ 20,777, $25,374)","€ 1,280,000 (£ 1,080,418, $1,319,463)",24615,1280000,9,87710000,4,0.8421052631578947,0.014593546915973093,14.0623706358958,576,0.9210526315789473,3.9210526315789473,0.42105263157894735,0.5263157894736842,0.23684210526315788,79.2,0,0.0,0.10738255033557047,0.9453550490540538,0.455452179074338,14.76539965072227,-0.7030290148264697,-50.491658468683745,Underpaid
Noah Atubolu,2024-2025,22,GER,Freiburg,Bundesliga,GK,26,2307,25.6,26,0,2,0,0,0,0,0,0,0,0,0,0,0,89,89,75.4,89,25,,1.62,1.62,37,37,0,2,2,0,0,0,0,0,0,37,118,82,68.6,12,6,10,2,37,2,0,2,0,100.0,0,"€ 3,269 (£ 2,759, $3,370)","€ 170,000 (£ 143,493, $175,241)",3269,170000,8,24800000,14,0.23529411764705882,0.0068548387096774195,12.043553716032399,484,1.4453125,4.609375,0.390625,0.46153846153846156,0.23076923076923078,68.6,0,100.0,0.0847457627118644,1.0725689006103367,0.10388716406631593,12.73426724873573,-0.6907135327033309,-49.87816942093538,Underpaid
Julen Agirrezabala,2024-2025,23,ESP,Athletic Club,La Liga,GK,14,1206,13.4,14,0,22,0,0,0,0,0,0,0,0,0,0,0,86,86,35.3,86,12,,2.21,2.21,22,9,13,1,1,1,0,3,1,0,0,10,32,24,71.9,9,4,5,2,10,2,1,1,0,50.0,0,"€ 14,038 (£ 11,850, $14,471)","€ 730,000 (£ 616,176, $752,506)",14038,730000,1,59890000,4,0.8421052631578947,0.012189013190849892,13.500799813124573,529,0.7462686567164178,2.388059701492537,0.3731343283582089,0.6428571428571429,0.2857142857142857,71.9,0,50.0,0.15625,0.6119210447334035,0.5919426186040784,14.004573834371875,-0.5037740212473025,-39.57540858332981,Underpaid
Grégoire Coudert,2023-2024,24,FRA,Brest,Ligue 1,GK,3,181,2.0,2,1,31,0,0,0,0,0,0,0,0,0,0,0,60,60,5.9,90,2,1.0,2.33,2.33,4,0,4,0,0,0,0,0,0,0,0,0,4,4,100.0,2,0,2,0,0,0,0,0,0,,0,"€ 3,462 (£ 2,924, $3,720)","€ 180,000 (£ 152,069, $193,436)",3462,180000,0,13970000,14,0.23529411764705882,0.012884753042233358,12.100712129872347,576,0.0,2.0,1.0,0.6666666666666666,0.0,100.0,1,0.0,0.5,0.45304652183182426,1.4314952603280724,12.519785518686412,-0.41907338881406453,-34.234407109195196,Fair
Théo De Percin,2024-2025,23,MTQ,Auxerre,Ligue 1,GK,2,180,2.0,2,0,30,0,0,0,0,0,0,0,0,0,0,0,90,90,5.9,90,2,,0.5,0.5,1,3,-2,0,0,0,0,0,0,0,0,3,6,5,66.7,0,1,1,2,3,2,1,1,0,50.0,0,"€ 2,308 (£ 1,948, $2,379)","€ 120,000 (£ 101,289, $123,700)",2308,120000,1,16050000,13,0.29411764705882354,0.007476635514018692,11.695247021764182,529,1.5,3.0,0.5,0.0,0.5,66.7,0,50.0,0.16666666666666666,0.668606162236066,0.09811799908113117,12.100040750265395,-0.40479372850121287,-33.288559664487614,Fair
